ראשי תיבות,פירוש
סח״ח,סתומת סקרא
סחי״ד,סתומת סקרא ידיעה
סחס״ב,סתומת סקרא סיה ספק בהמה
סט׳,סקנולא
ס״ט,סדר טהרות; סדרי טהרה; סדר סימני טהרה; סימן טוב; סימן ט׳; טוב; ספק טין; סימן טרפה; סימני טוביה; ספק טרפה; ספק טומאה; ספק טהור; ספרדי פפלי פטור
סט״א,סעודת חמרא
סטב״ט,סוף טוב כלו טוב
סט״מ,סיפי טוב מאד
סי׳,סימן
ס״י,סימן ישראל; סופרי ישרים; סוד ירושלים; ספורי ידים; סמיכה יפה; ספורי יוספין; ספר י
סמ״א,סוד מלכות אדום
סמ״ג,ספר מצות גדול; סדר מצות גדול; ספור מעין גנים
סמגאול״ת,סדר מצות גאולה לתפלה
סמג״ל,ספר מצות גדול לאוין
סמנל״ת,סדר מצות גאולה לתפלה
סמג״ע,ספר מצות גדול עשין
סמ״ד,ספר מעמדות; סדר מעמדות
סמ״ה,סעודת מצוה היא; סדר מלוה המלכה
סמו״ב,סדר מיכה ובה
סמד״ט,סדר מעשה מרע וטוב
סמול״ח,סדר מעמד לחשכה
סמול״ט,סדר מעמד למיתה
סמול״פ,סדר מעמד לפרקן
סמוע״ט,סדר מעשה ומועד טוב
סמ״ח,סדר מעשה חכמים
סמח״כ,סדר מעשה חכמים
סמ״י,סדר מלכות ישראל; סדר מלכות יון; סדר מלכות ישמעאל; סדר מלכות ירושלים; סדר מלכות יי
סמל״ד,סדר מעמד לדבר
סמל״ח,סדר מעמד לחשכה; סדר
ספד"צ ספיקא דצניעותא". (Correct).

    *Final check on ספד"ר*: OCR says "ספד"ר לרבנן. קפיקא". Image says "ספד"ר ספיקא דרבנן". (Correct).

    *Final check on ספה"א*: OCR says "ספה"א הארז, מן אומר. הוא מה". Image says "ספה"א ספר פדיון הבן, ספר א', ספר הארץ". (Correct).

    *Final check on ספה"ב*: OCR says "ספה"ב הבהיר, קפר הבן, פדיון קדר". Image says "ספה"ב ספר פדיון הבן, ספר הברית, ספר הבהיר". (Correct).

    *Final check on ספה"ז*: OCR says "ספה"ז הזכרונות. קפר הזהר, קפר". Image says "ספה"ז ספר הזהר, ספר הזכרונות". (Correct).

    *Final check on ספה"ח*: OCR says "ספה"ח החכמה, קפר החיים, קפר". Image says "ספה"ח ספר החיים, ספר החכמה, ספר החנוך". (Correct).

    *Final check on ספה"י*: OCR says "ספה"י הישר, קפר היראה, קפר". Image says "ספה"י ספר הישר, ספר
ספ״ת,ספר תהלים; ספר תורה
ס״צ,ספר צדיקים; ספורי צורות; סבת צמות
ס״ק,סדר קדשים; סדר קדישא; סבא קדישא; סימן קונטרס; סימן קללה; סעודת קבע; סעודה קבלה; ספרי קדושין; ספרי קטנים; ספרי קודש; ספר קרנים
סק״י,סדור קול יעקב
סקל״ע,סתם קנין לכתיבה עומד
סק״מ,סדור קרבן מנחה
סק״פ,סדור קרבן פסח
סק״ש,סדור קריאת שמע
סקשע״ה,סדור קריאת שמע על המטה
סקשעה״מ,סדור קריאת שמע על המטה
סקשעה״ט,סדור קריאת שמע על המטה
ס״ר,סדרי רבנן; סדרי ראשונה; סבה רעה; סימן רבים; סימן רזיא; ספר רוקח; ספר רבנים; סמיכות רבא; ספרא רקמה; ספר רזיאל; ס׳ רפואה; סי׳ רבות
סר״א,סליק אדם
סר״ה,ספר רזיאל הגדול
סדו״י,ספרא רבה וי
ע,עבירה; עבוד; עול; עיין; עמוד; עולה; על; עיין; עמודי; ערב; עקידה; עיקר; ערך
ע"א,אהבה; עבודות אלילים; עבודה; עגלה אורח; עובר אדמה; עובד אהלן; עדות אחד; עד אתה; עוללות אחלה; עוד אשה; עדות אחלה; עיר אליהו; עולם אפרים; איסור; על אמה; על אדרה; על עמוד ארץ; עם אליהו; עליונה; ענין אל; עמנו אש; עמודי א'; אחד; עניינם אחר; ענין אחד; ארזים; עצי אלמוגים; עצי ענפא; עשלון אמונה; עקרי איגר; עקיבא אחד
עא"א,איזה על אומר; אני עכשיו על אומרה; אלה על אופן; איש; אשת
עאא"ב,אני אלה על בוכיה
עאב"ב,בכיה אנה עד בציון
עאדא"ל,ארעא דזבין אינש עביד ליומא
עאד"ו,דמקרי אינש עביד ואמר
עאה"ח,אחר על החג
עאה"מ,אחר עד הפ
עבהנבב״א,עד במהרה הגואל ביאת אמן
עבה״ן,עבר הזמן
עבה״ט,עיין באר היטב
עבה״י,עבר היום; עבודה זרה; עבר הירדן
עבה״ב,עבודה הכוכבים; עבודה זרה; עבודת הכרם
עכה״ט,עשרה המשיח; ביאת עד המן
עכה״נ,עבר הנהר
עכה״צ,עבודת הצבא
עבד״ק,עבודת הקדש
עב״ו,עמית ומצות; בתורה
עבו״ג,עבודת גילולים
עבוה״ב,עבודת הבורא; עבודת הכוכבים; עבודת הכרם
עבוה״ג,עבודת הגישוני
עבוה״י,עבידת היום
עבוה״ל,עבודת הלב
עבוה״צ,עבודת הצבא
עבוה״ק,עבודת הקדש
עבו״י,עבודת ישראל
עבו״ב,עבודת כוכבים
עבוכ״ג,עבודת כהן גדול
עבו״ק,עבדים וקרקעות
עבוק״ט,עבדים וקטנים
עבד״ת,עבדו ותלמידו
עב
ד, על דא, על דוד, עיר דירתו, על דרך, על דעת, על דבר, דברים, עלילות דיונה, עלה דת, עניית דבר, עמא דם, עלילת דבר, ערות דנא, ענין דעתי, עשרת דודים, עת דברות".

    *Final check on עד"א:* "ד' על אדינרי, דשכיב עבברא, דא על אותיות, על אשמוך, דאעפת על דאבדין, על אחד, דרך על אמת, דבר ארץ, דרך עם אחר, דרך".

    *Final check on עדה"מ:* "דעת על המשל, דרך על המדרש, דעת על דעת המקום".

    *Final check on עדה"ם:* "דעת על הקוברים, דרך על הקברא, דעת על הפוקקים, דרך על הפלגה".

    *Final check on עד"ח:* "עדי חנם, דבר על חתימה, עדי חכמים, דברי על ח חלקי, דעת על חלוש, דרך על חברו".

    *Final check on עד"ט:* "עקרי דינים טוב, עקרי דינים עירנו, דבר על עד"ט".

    *Final check on עד"י:* "דעת על יושר, דבר
עדמ"ר,עגולא דנפק מגו רבועא
עד"נ,עדות נפשות; על דברי נביאים; על דרך נביאים
עד"ם,על דרך סברא; על דרך קוד
עד"ע,עת דעת עצמו; ערבא דערבא; עתה עשה; עתיקא דעתיקא
עדעול"ת,ולא עשה דוחה עשה תעשה
עד"פ,על דרך פשע
עד"צ,על דברי צדיקים; עדת קונו
עד"ק,על דעת קונו; על דברי קדשו
עד"ר,על דעת רבים; על דרך רמז
עד"ש,על דבר שמך; על דבר שלום; על דרך שאמרו; על דרך שחין
עדש"א,על דרך שאמרו
עדשאה"כ,על דרך שאמר הכתוב
עדש"ה,על דרך שאמר הכתוב
עדש"ב,על דרך שכתב
עדש"ל,על דרך שנתבאר למעלה
עדש"ק,על דבר שקר
עד"ת,על דברי תורה; על דרך תענוג; על דרך תשובה
ע"ה,עבדים היינו; עבודת הבורא; עבודת הקדש; עבוד
עה״ח,על החמץ; על החמור; על החיים; על הסתום; על עץ החתיכה
עה״ט,על הטומאה; על התרומה; עין הטומאה
עהט״ו,עץ הדעת טוב ורע
עה״י,עבודת היינו; עבדים היינו; עבר היום; על היסוד; על הידים; על הירדן; עמוד הימיני
עה״כ,על הכל; על הכהנים; עיר הכוס; על הכלכלה; על הכלאים; עלי הכתוב; על הכתב; על הכנוים; ערכי הכולל; עם כולנה; עשאן הכתוב
עהכ״א,הכתוב עליו אומר; כבוד היכן עד
עהכ״ם,על הכסא
עה״ל,עבודת הלכה; עם הלב; עבודת הלכה; עמק הלכה
עהלל״מ,על הלכה למשה מסיני
עה״מ,עונת המלכות; עול המלך; עבד המלך; עיר המקלט; עיר המלוכה; עיר המעשר; עמוד המטה; על המחיה; על המזבח; על המעשה; על המשא; על המילה; על המלך; עמק המת; על המקח; על המלכות; הרוגי עשרה המלכות
עו"ב,עולי בבל; עול ובעל; עונה בקור; עולת נבל; עושה ובשל; עול בתולה; עוסק ובשלי; עצמי ובשן; עלמי ובקרי; ערב ובקר
עובא"ח,עד וזכר חופין לא רוצו
עובב"ז,עושה בעילת בעילתו זנות
עובדי',עובדיה
עוב"ד,עובדי דירה; ובית דין
עוב"ח,עול ובשל חופין
עובחא"ב,עול ובשל חופין את כולו
עובחא"ר,עול ובשל חופין את רוצו
עוב"י,עיר בני ישראל
עובל"ם,עובר לסוחר
עוב"ט,עוסק במצוה
עוכמ"ז,עובד במעי זרה
עוכ"נ,עבד כנעני
עוכ"ע,עושה בעילתו
עובש"ח,עול ובשל חופין
עוב"ת,עוסק בתולה
עוכת"ל,עוסק בתורה לשמה
עו"ג,עובד עבודה זרה; עובד גלולים; עובד עבודת כוכבים ומזלות
עו"ד,עורך דין;
עומ״ה,עונשין מן הדין
עומה״ב,עוג מלך הבשן
עומה״ד,עונשין מן הדין
עומח״א,עולה - מכסה - חטאת - אשם
עומ״י,עובד מיראה
עומע״ב,מעשה עושה בראשית
עומע״ז,מעשה עושה זמרי
עומ״צ,עולי מצרים; עול מלוה
עומ״ש,עול מלכות שמים
עו״נ,עוללות כדנה; עוללות כפסלי; עונש נפשות; עונש נקבה; עולם ונחלתך; עושר ונלוז; עונש גדול
עונ״ג,עונש גדול
עונ״ד,עולת כדנה
עונ״ט,עמוד ממון; עונש מלקות
עונ״ק,עונש קטן
עו״ם,עזרא וקייעסו; עור פעם; עורבא פעם; עור פלוס; עקש ופתלתול; עושה ופתלתול; עושין פירות
עוס״ב,עושק בסורה
עו״ע,עלה עבירה; עוברי עבירה; עזוב ועזוב; עצור
:*
    עוא"ט,מקום;אין כאן מצווה;כאיכי עוא"ט

    *Refining עואמ"ל:*
    עואמ"ל,להאריך;מקום אין כאן עואמ"ל

    *Refining עוא"נ:*
    עוא"נ,כשמע;אשר כל נפש;כאות עוא"נ

    *Refining עואעוע"ז:*
    עואעוע"ז,זרה;עבודה עובד כאלו עואעוע"ז

    *Refining עואע"י:*
    עואע"י,ידי;על אס כי עואע"י

    *Refining עואעשר"א:*
    עואעשר"א,רוצה שיאמר עד אותו;מפין אכי עואעשר"א

    *Refining עוא"פ:*
    עוא"פ,פרק;אכילת כדי עוא"פ

    *Refining עואפוכמ"נ:*
    עואפוכמ"נ,וכמנשה;כאפרים עואפוכמ"נ

    *Refining עואצש"ב:*
    עואצש"ב,שכמותך;אצל כלך עואצש"ב

    *Refining עואראז"ל:*
    עואראז"ל,זכרוכס רבות
די ראיה; עולת רגלים; עולי ראיה; עטרת ראש; עטרת ראשונה; עין רוגל; עלי רעה; על רשות; עם רפאים; עמק ראש; עץ רשע; עקיס רגלים; ערב רענן; עריבת רב.

    *Wait, the CSV should be clean:*
    עצב"ע,עושה צדקה לכל עת; עינו רעה לכל עלמה; עם צדיקים בגן עדן
    עצ"ג,על צדקה גדולה; עם גומל חסדים; עזירת גשמים; עזרת גוים
    עצ"ד,צבי עטרה
    עצ"ה,עצה היושר; עצה ההגיון; עצה הדין; עצה הטבע; עצה היותר; עצה המוקד; עצה הסוד; עצה השאלה; עצה הצוי
    עצה"נ,עזירת הגשמים
    עצה"ד,עטרת צבי; צד על הדין; צד על הדרוש
    עצה"ה,צד על ההלצה; צד על ההגיון; צד על ההלכה
    עצה"י,צד על היושר; צד על היסוד
    עצהיו"מ,צד על היותר מועיל
עדו״ט,ערל וטמא
ערוט״ש,ערל וטמא שיז
ערו״ש,ערבית ושחרית
ערר״ת,עפר רימה ותולעה
ערזב״ז,זה ערבים בזה
ער״ח,ערב ראש חדש
ערט״ב,ערב ט׳ באב
ער״י,עריץ ישראל;רוכב עליון ישמשו
עריו״ט,ערב יום טוב
ערידב,ערב יום כפור
ערכ״שו,עיין רבנו משנה
ערכש״ג,של ערכאות גוים
ערל״י,עת רצון ליי
ער״נ,עיין רבנו כהנא;ערבי נקיים
ער״ם,ערב שבת
ער״פ,ערב פסח
ערצש״ט,של רצונו עושין עד מקום
ער״ק,ערב קודש;רצון עושין
ער״ר,עשרה על ראשון
ער״ש,ערל שבת;ערב שבועות;ערב שפתים
ערש״י,עיין רש״י
ערש״ט,של רצונו עושים מקום
ערש״פ,ערל שפתים
ערש״ל,של רצון עושים ערב קודש
ע״ש,עדות שאתה;עד ששים;עדות שקר;עדות שניה;עדות שוה;שם;עיין שבת;עולת שם;עוד שלום;עליו שושן;עיר שושן;עיין שגגתו;על שיח;עלי שוא;עלילת שכניהם;על שם;על שלחן;עם שש;עמודי שלמה;עמודי שבת;עניני שבת;ענג שלום;שכחתי;עיקר שלום;עצת שמן;עצי שמות;עשרה שבת;ערב שבת
עש״א,עשרון אחד;עיין עד שאתה;עד אליהו
עשאה״ב,עשאן הכתוב
עשא״נ,עציץ שאינו נקוב
עשאצו״צ,עשרה צדיקים שאר עם וצדקניות
עש״ב,שם עיין במרומיו;שלום עושה במרומיו;עמו שלום באורך;עשרה בשלמים
עשכ״א,עשירים באורך;שם עיין במקום אחד
עשבאל״ח,אדם שבין עבירות לחבירו
עשבאל״מ,אדם שבין עבירות למקום
עשב״ב,עדות שבטלה מקצתה בטלה כולה
עשבט״א,עשירים במקום אחד
עשבטב״ב,עדות שבטלה מקצתה שבטלה כולה
עשבט״ק,עדות שבטלה מקצתה
עשבנה״ט,בכי עשרת המן
עש״ג,של ערכאות גוזמא;שם על גוים
עש״ד,של שאר עם דמים;שפיכות דברים
עש״ה,עיין עשרה השירים;שיר על היטב;שם על הדברים;עשרת הכתוב
עשה״א,עשירית האמת
עשה״ד,עשרת הדברות;עשרת הדברים
עשד״ב,עשאן הכתוב;שם על הכתיב
עשה״ש,עשרת השירים;שיר על השבטים
עש״ו,עשה שמים וארץ
עשו״א,עשרים וארבע;עשה שמים וארץ
עשדו״ט,ערב שבת ויום טוב
עשו״ט,שחרית ערבית ומנחה
עשו״ת,עיין שאלות ותשובות
עש״ז,שם שלום עם זוגתו;על זה
עש״ח,עשה חכם;שכאת על חול
עש״ט,עשרה טפחים
Acronym,Meaning
עלה״ש,עלות השחר
עלו״א,עיין לוח ארש
עא״י,עיניס להם ולא יראו
עלו״ל,עשיק למעלה ולבו למטה; עתיק לגביך ושוי לכרישך
עלח״ם,עיין לחם משנה
על״י,עומד לפני יי; עדות לישראל; עשיו לבן יצחק
על״כ,עלייהו כתיב
עלל״י,לעשרה עת לעשות ליי
עלל״ט,לאיש לוה עבד
על״מ,עדו מקוייס; לעד מעולם; עליון לכו מלך
על״נ,ערוך לנר
על״ם,עובד לקוחר
על״ע,עלומי עין
עלע״ל,עתים לשובה עמיס לרעה
עלפה״ת,עובד לפני הפרישה
עלפ״ק,עד לפרושה קטנה
על״ר,עשה לך רב; עין לא ראתה אלהים זולתך
עלרא״ן,עין לא ראתה אלהים זולתך
ע״ט,עבודת מלוג; עבודת מצרים; עבדי מקדש; עבודת מתנה; עגל מרבק; עדי ממון; עדות מיוחדת; עדות
". Looking at the image, it's "לחקן".
Another: עמ"כ has "עלי מפורש כרצונו".
Another: עמ"ש has "על מלה שמים".

Final check on ע"נ:
"עגמת נפש; עדות נפשות; עולת נפתלי; עוללות נכרים; עזי נפשות; עונש נדבה; עיר נתנה; עיניה נשים; עזרת נבון; על נזירות; על נאמר; עליו נשמת; עם כל; על נקבה; על נחש; עשר נסל; ערבי נפש; עשרה נסיונות; עשרה נסיעות; עשרה נשים"

Wait, "עשר נסל" -> "עשר נסל".
"עשרה נסיונות" -> "עשרה נסיונות".
"עשרה נסיעות" -> "עשרה נסיעות".

Let's produce the CSV.

עמיל"ל,על מ' י' יש לכו להשען
עמ"י,עשי' עזרי מעם יי' עושה שמים וארץ
עמיש"ו,על משכבו יבא שלום ויכוח
עמ"כ,עלי מפורש כרצונו; על מכה כן; עשר מכות
עמ"ל,על מכה : לבער;
ענו״ו,עננו על כל צרה;עין נוטה
ענט״י,עילה על נטילת ידים
ענט״ל,עילה על נטילת לולב
ענ״י,עניי ירושלים;עניי ישראל;עילה על נטילת ידים
ענו״ב,ערובין - כלה - יבמות
ענכ״ב,ענפי על בגדיהם
ענ״ל,עיין נראה לפרש;עוד נראה ליה;עיין עוד למעלה
ענ״מ,ענר על מנת
ענ״ע,עניי עירך
ענ״צ,עניי צדק
ענ״ר,עיין נראה על ראשונים;נביאים על ענ״ר
ענ״ש,ענייני שבת
ענשצב״א,עם נשמות צדיקים בגן אלהים
ע״ם,עולם קפורני;עובדיה סופו;עד עולם;עע סופרים;עע ספור;עעור סחור;עיין סדר;עיין סוד;על סדר;על סימן;על סכום;על סך;על סוכות;על ספר;על קעק;על סמך;על ספירוח;עשר סוכות;עשר סעודות
ע״ם,עון פעם; עוד עהרענפעלד; עוסק פירוש; עושה פרח; עורבא פלילי; עוסק פנים; עזות פנים; עושין פירות; על פה; על פעל; עין פנים; על פני; על פיחס; על פי; עמא פשע; על פרשה; על פקוק; עם פלוני; עם פרטי; עלם פטוס; עם פזיזא; עקשות פה; פליישמאכן; עקיבא פרי; ערוב פסח; ערב פסחים; ערבי פסיעות; עשר פרשיות
עפ״א,עד פרוטה אחרונה; עיין פירש א׳; עיין פרק א׳; עיין פרק אחר
עפא״ח,אנו פיהם על חיים
עפ״ב,עיין פרק ב׳; פרק עיין ב׳
עפב״ד,בית דין על פי
עפכ״ע,ע׳ פירוש על עדים
עפ״ג,עיין פעל גרונית; עיין פעל גורל
עפ״ד,עיין פרק ד׳; עיין פירוש ד׳; עיין פסק ד׳
עפד״ה,עיין פירוש ד״ה; עיין פירוש דבור המתחיל
עפדה״א,ע
עריבת רב, ערב רענן, עת רצון."

    *Wait, looking at ער"ב again:*
    "ערל בשר."

    *Wait, looking at ער"ה again:*
    "ערב השנה, ראש השנה."

    *Wait, looking at ערד"פ again:*
    "ערב הפסח."

    *Wait, looking at ערה"ש again:*
    "ראש ערב השנה, ראש עד השנה."

    *Wait, looking at ערו' again:*
    "ערוך."

    *Wait, looking at ערוכ"נ again:*
    "ובן ערל נכרי."

    *Wait, looking at עצה"ע again:*
    "היתר עשקא."

    *Wait, looking at עצה"ש again:*
    "צד על השאלה, צד על השלילה."

    *Wait, looking at עצו"ג again:*
    "עצמות וגידין, עצה וגבורה."

    *Wait, looking at עצו"ב again:*
    "עצמות וכלים."

    *Wait, looking at עצו"ר again:*
    "עומדים צפופים ומשתחווים רווחים."

    *Wait, looking at עצ"ז again:*
    "צד על זה."

    *Wait, looking at עצ
ץ."

    *Wait, "עשו״א":*
    "עשו״א שמים עושה עשרים וארץ וארבע."

    *Wait, "עשדו״ט":*
    "עשדו״ט ויום שבת ערב טוב."

    *Wait, "עשו״ט":*
    "עשו״ט שחרית ערבית ומנחה."

    *Wait, "עשו״ת":*
    "עשו״ת שאלות עיין ותשובות."

    *Wait, "עש״ז":*
    "עש״ז על עש״ז זה; שם שלום עם זוגתו."

    *Wait, "עש״ח":*
    "עש״ח על עש״ח שבת; עשה חכם; שכאת על חול."

    *Wait, "עש״ט":*
    "עש״ט עשרה טפחים."

    *Wait, "ע״ש" again:*
    "עדות שאתה; עבור שנים; עדות שקר; עדות שניה; עדות שוה; שם; עיין שבת; עולת שם; עיין שגגתו; עליו שושן; עיר שורש; עיין שגגתו; על שיח; עלי שוא; עלילת שכניהם; על שם; על שלחן; עם ש
עשטמ"ק,עיין שיטה מקובצת
עש"י,עשרה יוחשין; עשרה יוספין; עשרה ימים
עשי"א,שיבא עליהו אליהו
עשי"ג,על שיגמור
עשיה"ת,ימי עשרה התשובה
עשיח"ב,חמור שיעלה על בקולם
עשי"מ,שידו על מגעת
עשי"נ,שיצאה על
עשי"ס,שיקסאב על
עשי"ר,רגלים; ידות; שנים; עינים
עשיר"א,רוצה שיאמר על
עשי"ת,ימי עשרה התשובה
עש"כ,שפתיי עיין כתוב; שם עול כותים; של ערכאות כהן
עשכה"ע,כל שם עיין הענין
עש"ל,עשר לעולם; שלום עושה לו; שמות
עשל"י,לא ינקה שקרים על
עש"מ,שלחן על שום; מה על מלכים; עשייה מכחה; שחרית ערבית; עשר מאמרות; עשרה מאמרות
עשמ"א,עשרה מאמרות
עשמה"ק,עשרה מאמרות הקטן
עשמל"ג,שמגיע עד לגיד
עשמל"
פ,פלחה; פוריס; פחוס; פיוט; פלוגתא; פלוני; פנים; פקוק; פקח; פקק; פקקא; פעם; פרצוף; פשוטה; פרשה; פרוש; פרק; פהוחה; פסח
פ״א,פה אחד; פטירת אסר; פטישת חסד; פי אהרן; פלפול אלמוני; פלוני אחר; פירוש אחד; פעולה אריה; פני אדם; פני ארוך; פרא אחת; פעם אמשית; פעם אחרונה; פרוטה אלומה; פרה אדומה; פרצוף אלמה; פרי אחת; פרוטה אחת; פרקי אמצעי; פרק א׳; פרק אחד; פתיא אליהו; פרקי אבות; פתח אוכמא
פא״א,אלוני פירש אקור; אבל פטור
פא״ב,אחת פעם
פאד״מ,פרק אחד מדיני ממונות
פא״ה,פאר הדור; פאר הלור; פאר הלכה
פאה״ד,פאר הדור
פאה״ז,פאר הזמן
פאה״ב,אחר פרט
פאה״ש,פאת השדה; פאת השלחן
פא״ט,אלו פרק טרפות
גיעתן רעה." (Fix: פגיעתן רעה).

    *Check פג״פ:*
    "פשוט גט פרק."

    *Check פג״ר:*
    "פגע רע."

    *Check פג״ש:*
    "פייבל גאלדשטאפף."

    *Check פה״א:*
    "פוחתין הארון; פירוש הארון; פרי הארץ; פרי האדמה; פתח האהל."

    *Check פה״ב:*
    "פרי הבאר; פדיון הבן; פי הבן; פתח הבטן; פתח הבית."

    *Check פהב״ב:*
    "פת הבאה בכסנין."

    *Check פהבב״ב:*
    "פת הבאה בכסנין."

    *Check פה״ג:*
    "פרי הגאון; פירוש הגפן."

    *Check פה״ד:*
    "פתח הדור; פאר הדור."

    *Check פה״ז:*
    "פאר הזמן."

    *Check פה״ח:*
    "פאר החדש; פטיש החכמים; פטיש החזק; פרשת החדש."

    *Check פה״י:*
    "פקח היום; פתח היום; פרק היום; פרשת הי
ב פרק י״ג, פושעים יכשלו בם." Correct.

    *Wait, פיה״א. Let's re-read carefully.*
    Image: "פיה״א פירוש הארון." Correct.

    *Wait, פו״ח. Let's re-read carefully.*
    Image: "פו״ח פצע וחטאת, פתח חזי, פרק וחבולה." Correct.

    *Wait, פו״ח מעד״ב. Let's re-read carefully.*
    Image: "פו״ח מעד״ב פוק חזי מאי עמי בר דבר". Correct.

    *Wait, פו״ט. Let's re-read carefully.*
    Image: "פו״ט פותח טפח, פרנסים וטובים". Correct.

    *Wait, פו״י. Let's re-read carefully.*
    Image: "פו״י פודה ויציל, פורה ישראל, פורת יוסף, פרנסים ויחידים". Correct.

    *Wait, פו״מ. Let's re-read carefully.*
    Image: "פו״מ פחד ומורא, פחד ומציל, פילה ומשנה, פשל ומילה, פשח ומוקש, פרנסים ומנהיגים, פינקים ומדי, פשפש ולא מצא". Correct.

    *
פיה"ב,פרק - יום הכפורים
פיה"מ,פירוש המשניות
פיה"נ,פירוש הכוזרין
פיה"ק,פירוש הקונטרס; פירוש הקל
פיה"ת,פירוש התרגום; פירוש התורה
פיו"ר,פניו ידיו ורגליו
פיז',פיזרו
פי"ל,פועל לשלישי
פילב"ם,פועל לשני פעמים
פי"ק,פורה יוסף קהלה
פירש"י,פירוש רש"י [=ר' שלמה יצחקי]
פיר"ת,פירוש רבינו תם
פ"כ,פי כבודו; פאר כפורה; פרוכת כבודו; פני כל; פח כל; פרטי פרטי כהונה; פח כותים
פכ"ג,פרק כלל; פרק גדול; כהן גדול
פכ"ד,כל פרכא דהוא
פכד"ד,פרק כסוי הדם
פכה"ב,כל פרק הבשר
פכה"ד,פרק כסוי הדם
פכה"ט,כל פני המזרח; פר המזרח
פכה"נ,כל פרק הנשבעין
פכה"צ,כל פרק הצלמים
פ"נ, פדיון נטמן; פה נטמן; פה נפש; פדיון פלגא; פנה כנפשי; פנה נטמן; פלגא נדה; פלגא נפשות; פקוח נשים; פרוש כבה; פרעה נישא; פרקומי כלה; פתחי כנפי; פתחי כלם.
פנ"א, פני אדם; פני אריה; פני אלהים.
פנב"י, פנחס בן יאיר.
פנ"ג, פני גיהנם.
פנד"ש, פקוח נפשות דוחה שבת.
פנ"ח, פנים חברו; פני חדשות.
פנח"ב, פני פנחס ברבים.
פנ"י, פני יפות; פני יהושע.
פנ"מ, פנים מאירות; פנים ממרכא; פלגא משה; פני מלך; פני מקצה.
פנ"ק, פגול; פגול נותר; פגול ניתר; פלגא נזקא; קרבן.
פנ"ק עכ"ס, פגול נותר קרבן מעילה כרת אסור [לאונן].
פס', פסוק; פסיקתא; פקוק.
פ"ס, פלג שפי
" (Wait, image says "קדמות העולם").

    *Final check on קדה״פ:*
    "קודם הפסח."

    *Final check on קדה״ש:*
    "קדוש השם."

    *Final check on קד״ה:*
    "קודם החדש; קדוש החופה; קדוש השם; קדוש הלבנה."

    *Final check on קד״י:*
    "קדיש דירחא; קביע דיונה; קיקיון יתום."

    *Final check on קד״ל:*
    "קדושת לוי."

    *Final check on קדל״ב:*
    "קאדלבורג."

    *Final check on קדב״ד:*
    "בדק קדשי הבית."

    *Final check on קד״ג:*
    "קדושין גמורים."

    *Final check on קד״ח:*
    "קבלת דברי חברות; קדשים חמורה."

    *Final check on ק״ד:*
    "קדושת קאבערסדארף; קהלת דרבנן; קדיש דברים; קורט דם; קוצר דוד; קפיצת דם; קפיצת דמים; קנין דרך; קצורי דינים."

    *Final check on ק״
פרד״ר,פרשת רמונים; פרדס רוקח
פרדר״א,פרקי דרבי אליעזר
פרה״א,פרי האדמה
פרה״ע,פרי העץ
פרו״א,פרוטה אחרונה
פרו״ב,רום פני כבודו; רום פאר כבודו
פרו״פ,פריעה ופרימה
פר״ח,פירשו חכמינו; פירשו חננאל; ר׳ פירוש חלש; עמינדב חצרון רם פרץ בעד״י עש״ן דוד ישי עובד בועז נחשון שלמון
פר״ט,פרי מעלתו; רום פאר מגדים; חביר טרחא רביע פשטא ז״ט ת״פ טפחא
פר״י,פרפראות יצחק; רבינו פירוש ישמעאל; ר׳ פרק יעקב; ר׳ יואל
פרי״ו,רבי פירוש יואל
פרמבמ״ש,מבעל פירוש מדרש שמואל
פרמ״ג,פרי מגדים
פר״נ,פרסה נשמתו
פרס״ת,נאמן רחמן פודה תם
פר״ע,רבי פרק עץ; פרי צדק
פר״צ,פר צפון; פרחי צדק
*Wait, I missed some meanings in צ״ג:*
    "ליס גדולה, לדקה גמור, צדיק גמלים, לירך גדול, לרה גפן, למר גדליה."
    Okay.

    *Wait, I missed some meanings in צ״ד:*
    "ליף דבש, ליית דינא, למח דוד."
    Okay.

    *Wait, I missed some meanings in צד״ה:*
    "לדוק הבבלי, בן לבי צד״ה."
    Okay.

    *Wait, I missed some meanings in צד״ק:*
    "־ דעתן ־ צביונן ־ קומתן."
    Okay.

    *Wait, I missed some meanings in צ״ה:*
    "להר הדין, לדוק הכוכבים, צאת היום, צומת התיבה, -הפרצוף, -הבית, הארץ, :צורת העולס, צל הלשון, לחות -הפתח, צרור החיים, צרור המן, צנצנת הנפש. צרת המור,"
    Okay.

    *Wait, I missed some meanings in צה״א:*
    "צורה האמתית., צורה הארץ."
    Okay.

    *Wait, I missed some meanings in צה״ב:*
    "צורת הבית
Wait, I should be careful with the OCR errors.
        "לדיק" -> "צדיק"
        "לם" -> "צד"
        "לורת" -> "צורת"
        "לרוחיהן" -> "צרותיהן"
        "לוקקערמאנרל" -> "צוקקערמאנרל"
        "לרין" -> "צריך" or "צדיק" depending on context.
        "לורף" -> "צורף"
        "לירופי" -> "צירופי"
        "ליין" -> "ציון"
        "למס" -> "צמח"
        "ללקו" -> "צדקו"

        Let's re-verify entries like "צ״י" in the left column.
